,mid,imdb_id,writer_ids,writer_names,writer_gender,num_of_female_writers,total_num_of_writers,all_female_writers
0,m0,tt0147800,"['nm0527581', 'nm0809006', 'nm0000636']","['Karen McCullah', 'Kirsten Smith', 'William Shakespeare']","['F', 'F', 'M']",2,3,False
1,m1,tt0103594,['nm0097785'],['Rose Bosch'],['F'],1,1,True
2,m2,tt0179626,['nm0381273'],['John Herzfeld'],['M'],0,1,False
3,m3,tt0062622,"['nm0000040', 'nm0002009']","['Stanley Kubrick', 'Arthur C. Clarke']","['M', 'M']",0,2,False
4,m4,tt0083511,"['nm0006854', 'nm0001353', 'nm0343419', 'nm0211823']","['Roger Spottiswoode', 'Walter Hill', 'Larry Gross', 'Steven E. de Souza']","['M', 'M', 'M', 'M']",0,4,False
5,m5,tt0119116,"['nm0000108', 'nm0436543']","['Luc Besson', 'Robert Mark Kamen']","['M', 'M']",0,2,False
6,m6,tt0134273,['nm0001825'],['Andrew Kevin Walker'],['M'],0,1,False
7,m7,tt0095742,"['nm0000127', 'nm0467889', 'nm0001338', 'nm0923646', 'nm0003117']","['Wes Craven', 'William Kotzwinkle', 'Brian Helgeland', 'Jim Wheat', 'Ken Wheat']","['M', 'M', 'M', 'M', 'M']",0,5,False
8,m8,tt0097981,"['nm0000127', 'nm0804345', 'nm0817468', 'nm0092018']","['Wes Craven', 'John Skipp', 'Craig Spector', 'Leslie Bohem']","['M', 'M', 'M', 'M']",0,4,False
9,m9,tt0052587,"['nm0359034', 'nm0088726', 'nm0704896']","['Orville H. Hampton', 'Irving Block', 'Jack Rabin']","['M', 'M', 'M']",0,3,False
10,m10,tt0118564,"['nm0001930', 'nm0001707']","['Russell Banks', 'Paul Schrader']","['M', 'M']",0,2,False
11,m11,tt0118571,['nm0549256'],['Andrew W. Marlowe'],['M'],0,1,False
12,m12,tt0083530,"['nm0277946', 'nm0419830', 'nm0718514']","['Ken Finkleman', 'Al Jean', 'Mike Reiss']","['M', 'M', 'M']",0,3,False
13,m13,tt0080339,"['nm0000720', 'nm0001878', 'nm0958387', 'nm0058826', 'nm0150712', 'nm0354150']","['Jim Abrahams', 'David Zucker', 'Jerry Zucker', 'Hall Bartlett', 'John C. Champion', 'Arthur Hailey']","['M', 'M', 'M', 'M', 'M', 'M']",0,6,False
14,m14,tt0094631,['nm0639328'],"[""Rockne S. O'Bannon""]",['M'],0,1,False
15,m15,tt0090605,"['nm0000116', 'nm0318429', 'nm0001353', 'nm0639321', 'nm0795953']","['James Cameron', 'David Giler', 'Walter Hill', ""Dan O'Bannon"", 'Ronald Shusett']","['M', 'M', 'M', 'M', 'M']",0,5,False
16,m16,tt0086879,"['nm0787323', 'nm0537004']","['Peter Shaffer', 'Zdenek Mahler']","['M', 'M']",0,2,False
17,m17,tt0082010,['nm0000484'],['John Landis'],['M'],0,1,False
