title,imdb_id
a nightmare on elm street: the dream child,tt0097981
the atomic submarine,tt0052587
casablanca,tt0034583
dark angel,tt0099817
godzilla,tt0120685
george washington,tt0262432
hellbound: hellraiser ii,tt0095294
invaders from mars,tt0045917
it happened one night,tt0025316
krull,tt0085811
leon,tt0110413
labor of love,tt0159519
marty,tt0048356
metropolis,tt0017136
mighty morphin power rangers,tt0113820
mobsters,tt0102460
my mother dreams the satan's disciples in new york,tt0177023
napoleon,tt0113932
the night of the hunter,tt0048424
pirates of the caribbean,tt0325980
plastic man,tt0200365
platinum blonde,tt0022268
rebel without a cause,tt0048545
shock treatment,tt0083067
simone,tt1626229
spider-man,tt0145487
star trek: the wrath of khan,tt0084726
the thing,tt0084787
a hard day's night,tt0058182
alien vs. predator,tt9824546
all about eve,tt0042192
asylum,tt0348505
batman and robin,tt0041162
beetle juice,tt0094721
book of shadows: blair witch 2,tt0229260
bloodmoon,tt0118745
la battaglia di algeri,tt0058946
a bucket of blood,tt0052655
charade,tt0056923
nuovo cinema paradiso,tt0095765
clerks.,tt0109445
crazy love,tt0790706
the curse,tt0092809
the devil and daniel webster,tt0263265
dumb and dumberer: when harry met lloyd,tt0329028
star wars: the empire strikes back,tt0080684
escape from the planet of the apes,tt0067065
excalibur,tt0082348
hider in the house,tt0097503
highlander iii: the sorcerer,tt0110027
the jazz singer,tt0018037
jennifer eight,tt0104549
last of the mohicans,tt0076300
halloween iii: season of the witch,tt0085636
monty python and the holy grail,tt0071853
arcade,tt0106302
mulholland dr.,tt0166924
the negotiator,tt0120768
a nightmare on elm street part 2: freddy's revenge,tt0089686
one flew over the cuckoo's nest,tt0073486
playback,tt0114142
maniac,tt0081114
vampyr,tt0023649
romeo and juliet,tt0063518
route 9,tt0140519
seven,tt0079882
star wars,tt0076759
dr. strangelove or: how i learned to stop worrying and love the bomb,tt0057012
superman,tt0078346
taking sides,tt0260414
the man who wasn't there,tt0243133
le grand bleu,tt0095250
u-turn,tt0070848
verdict,tt0072359
waxwork,tt0096426
what women want,tt0207201
the witching hour,tt0181904
zulu dawn,tt0080180
friday the 13th,tt0758746
happy birthday wanda june,tt0067180
legend,tt0089469
o brother where art thou?,tt0190590
sex lies and videotape,tt0098724
halloween,tt0077651
king kong,tt0360717
lock stock and two smoking barrels,tt0120735
crouching tiger hidden dragon,None
manhunt,None
neuromancer,None
red white black & blue,None
who's your daddy?,None
murderland,None
